search URL:,https://patents.google.com/?q=CPC%253dA63B59%252f40&clustered=true
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0451542-B1,Table tennis bat ,Hanno-Sport Gmbh,Leif Hjortshoj,1990-04-11,1991-03-16,1994-06-01,1994-06-01,https://patents.google.com/patent/EP0451542B1/en,https://patentimages.storage.googleapis.com/3b/ca/32/157e3c97756cb9/imgf0001.png
US-4268254-A,Method of enhancing bimanual dexterity ,Mccormick Everett N,Everett N. McCormick,1979-12-14,1979-12-14,1981-05-19,1981-05-19,https://patents.google.com/patent/US4268254A/en,https://patentimages.storage.googleapis.com/84/1f/e2/a46a805a18c732/US4268254-drawings-page-2.png
US-2152239-A,Bat for games such as table tennis ,Elwood W Burnard,Elwood W Burnard,1938-03-29,1938-03-29,1939-03-28,1939-03-28,https://patents.google.com/patent/US2152239A/en,https://patentimages.storage.googleapis.com/37/29/0c/e8b463bdcda791/US2152239-drawings-page-1.png
US-702697-A,House-tennis racket. ,Emile Boulanger,Emile Boulanger,1902-04-09,1902-04-09,1902-06-17,1902-06-17,https://patents.google.com/patent/US702697A/en,https://patentimages.storage.googleapis.com/dc/a7/a1/cb491bb1d8fdec/US702697-drawings-page-1.png
US-716464-A,Ping-pong racket. ,Lyman H Nelson,Lyman H Nelson,1902-09-15,1902-09-15,1902-12-23,1902-12-23,https://patents.google.com/patent/US716464A/en,https://patentimages.storage.googleapis.com/c0/47/ab/b836b6dfd285c4/US716464-drawings-page-1.png
US-4251580-A,Pile surfaced friction device ,Imperial Chemical Industries Limited,"Arthur C. Angood, Rodney E. Ginger, Graham Jarrett",1976-06-03,1976-07-15,1981-02-17,1981-02-17,https://patents.google.com/patent/US4251580A/en,
KR-200387000-Y1,The thumb and the index finger fixed shakehand racket ,이기용,이기용,2005-03-15,2005-03-15,2005-06-16,2005-06-16,https://patents.google.com/patent/KR200387000Y1/en,
US-711424-A,Game device. ,Henry G Higgins,Henry G Higgins,1902-08-04,1902-08-04,1902-10-14,1902-10-14,https://patents.google.com/patent/US711424A/en,https://patentimages.storage.googleapis.com/de/06/46/5694642ca9eea5/US711424-drawings-page-1.png
US-6527655-B2,Counting racket ,"Stewart Sims, Michael Sivan","Stewart Sims, Michael Sivan",2000-09-15,2001-09-13,2003-03-04,2003-03-04,https://patents.google.com/patent/US6527655B2/en,https://patentimages.storage.googleapis.com/a6/cf/32/78be080680b5f0/US06527655-20030304-D00000.png
KR-960003663-Y1,Table tennis racket ,경형병,심완용,1993-04-03,1996-01-11,1996-05-04,1996-05-04,https://patents.google.com/patent/KR960003663Y1/en,
US-117518-A,Improvement in battledoors ,,,,,1871-08-01,1871-08-01,https://patents.google.com/patent/US117518A/en,https://patentimages.storage.googleapis.com/43/a4/bb/e225916cee1c0c/US117518-drawings-page-1.png
KR-200393285-Y1,A transparent table tennis paddle ,지성원,지성원,2005-05-11,2005-05-11,2005-08-22,2005-08-22,https://patents.google.com/patent/KR200393285Y1/en,
CN-201216849-Y,Competition playing course for novel sports ball game ,柳天扬,柳天扬,2008-03-27,2008-03-27,2009-04-08,2009-04-08,https://patents.google.com/patent/CN201216849Y/en,
AU-4348768-A,Table tennis bat ,,Charles Carlton William,1968-09-17,1968-09-17,1970-03-26,,https://patents.google.com/patent/AU4348768A/en,
US-2101714-A,Rubber coated article and method of manufacturing same ,Arthur J Keeney,Arthur J Keeney,1935-02-15,1935-02-15,1937-12-07,1937-12-07,https://patents.google.com/patent/US2101714A/en,https://patentimages.storage.googleapis.com/24/86/7e/2f37eba9c6d0e8/US2101714-drawings-page-1.png
US-2328366-A,Table tennis bat ,Elmer J Timmermann,Elmer J Timmermann,1942-07-28,1942-07-28,1943-08-31,1943-08-31,https://patents.google.com/patent/US2328366A/en,https://patentimages.storage.googleapis.com/f3/63/81/afc0d2aa849c41/US2328366-drawings-page-1.png
US-5747177-A,"Collected lumber, process for producing collected lumber and collected lumber producing device ","Ibiden Co., Ltd.","Tadashi Torimoto, Yasuhiro Asano, Tsunehiro Kohara, Tetsuya Nishimura",1993-07-12,1994-04-21,1998-05-05,1998-05-05,https://patents.google.com/patent/US5747177A/en,https://patentimages.storage.googleapis.com/0d/dd/5f/ac92fbd3f8d9de/US5747177-drawings-page-2.png
DE-9400156-U1,table tennis racket ,Pock Guenther,,1994-01-07,1994-01-07,1994-02-24,,https://patents.google.com/patent/DE9400156U1/en,
DE-29700541-U1,Table tennis bats made of spherically shaped sheets or plastics ,"Krause Roland, Grabosch Reinhold",,1997-01-14,1997-01-14,1997-04-30,,https://patents.google.com/patent/DE29700541U1/en,
DE-10036477-A1,"Playing surface for table tennis bat; has sponge underlay glued upper rubber having knobs, with glue only applied at adhesive points between knobs and sponge underlay ",Sing Wo Sports Ltd,Michael Schneider,2000-07-25,2000-07-25,2002-02-07,,https://patents.google.com/patent/DE10036477A1/en,
GB-1127473-A,Improvements in or relating to bats ,Carlton Tyre Saving Co Ltd,William Charles Carlton,1966-05-12,1966-05-12,1968-09-18,,https://patents.google.com/patent/GB1127473A/en,
DE-3239076-A1,Table tennis bat ,Bernhard Hanneken,Bernhard Hanneken,1982-10-22,1982-10-22,1984-04-26,,https://patents.google.com/patent/DE3239076A1/en,
FR-2373303-A1,Table tennis bat for right or left handed players - has handle offset from centre line of striking surface ,Rollet Claude,,1976-12-07,1976-12-07,1978-07-07,,https://patents.google.com/patent/FR2373303A1/en,
GB-698088-A,Improvements in or relating to the production of table tennis and like bats ,Dunlop Rubber Co,William Arthur Gurney,1950-07-13,1950-07-13,1953-10-07,,https://patents.google.com/patent/GB698088A/en,
DE-2849833-A1,New style table tennis bat - is made without projecting handle and includes built-in openings for fingers either together or separately ,Eduard Ing Grad Krausz,Eduard Ing Grad Krausz,1978-10-18,1978-11-17,1980-05-29,,https://patents.google.com/patent/DE2849833A1/en,
GB-1242704-A,Improvements in sporting goods ,Avon Rubber Company Ltd,"Brian Steadman, Helmut Wemer",1968-12-10,1968-12-10,1971-08-11,,https://patents.google.com/patent/GB1242704A/en,
DE-3516700-A1,Table tennis bat with innovative handle ,Milan Benic,Milan Benic,1985-05-09,1985-05-09,1985-11-14,,https://patents.google.com/patent/DE3516700A1/en,
US-4379554-A,Platform tennis paddle ,Skymar Corporation,"Andreas D. Schuyler, Richard K. Maier",1981-08-24,1981-08-24,1983-04-12,1983-04-12,https://patents.google.com/patent/US4379554A/en,https://patentimages.storage.googleapis.com/cd/1b/c2/12ead0a0dccc57/US4379554-drawings-page-2.png
CN-107030837-A,A kind of racket plank preparation technology ,东莞市爱普登体育器材有限公司,毛添祺,2017-05-27,2017-05-27,2017-08-11,,https://patents.google.com/patent/CN107030837A/en,
KR-20180066798-A,Ball storage on-board table tennis racket ,장원홍,장원홍,2016-12-09,2016-12-09,2018-06-19,,https://patents.google.com/patent/KR20180066798A/en,https://patentimages.storage.googleapis.com/cb/56/20/1395fa48db6fb1/pat00002.png
KR-20180065560-A,The assistant for pingpong racket ,류종렬,류종렬,2016-12-08,2016-12-08,2018-06-18,,https://patents.google.com/patent/KR20180065560A/en,https://patentimages.storage.googleapis.com/17/b2/ca/485a25a78f008d/pat00001.png
KR-20170128754-A,Grip with blocks ,류종렬,류종렬,2016-05-13,2016-11-09,2017-11-23,,https://patents.google.com/patent/KR20170128754A/en,https://patentimages.storage.googleapis.com/ab/54/bb/b031b5a008fe8c/pat00001.png
KR-20180051958-A,The assistant for shakehand type pingpong racket ,류종렬,류종렬,2016-11-09,2016-11-09,2018-05-17,,https://patents.google.com/patent/KR20180051958A/en,https://patentimages.storage.googleapis.com/1a/61/86/505a4403a36c01/pat00001.png
US-5549294-A,Hand paddle ,"Wellen; Alexander B., Fanucci; Allan A.","Alexander B. Wellen, Allan A. Fanucci",1994-08-18,1995-01-17,1996-08-27,1996-08-27,https://patents.google.com/patent/US5549294A/en,https://patentimages.storage.googleapis.com/3e/48/4e/efb957f6828944/US5549294-drawings-page-2.png
KR-20180038713-A,The assistant for shakehand type pingpong racket ,류종렬,류종렬,2016-10-07,2016-10-07,2018-04-17,,https://patents.google.com/patent/KR20180038713A/en,https://patentimages.storage.googleapis.com/b3/7e/d3/bbbcaf0d770813/pat00001.png
KR-20150004443-U,Pingpong Racket ,김민준,김민준,2014-05-23,2014-05-23,2015-12-11,,https://patents.google.com/patent/KR20150004443U/en,https://patentimages.storage.googleapis.com/78/95/b1/294633dc0bf85d/utm00001.png
CN-109420303-A,Bat of table tennis ,当阳市联福运动器材有限公司,胡登俊,2017-08-28,2017-08-28,2019-03-05,,https://patents.google.com/patent/CN109420303A/en,
US-3674268-A,Table tennis paddle construction with improved handle means therefor ,Kenneth S Shellman Sr,Kenneth S Shellman Sr,1970-06-04,1970-06-04,1972-07-04,1972-07-04,https://patents.google.com/patent/US3674268A/en,https://patentimages.storage.googleapis.com/38/53/cd/95fcbf9b1217c4/US3674268-drawings-page-2.png
KR-20170112301-A,Shakehand type pingpong racket with supporting hand ,류종렬,류종렬,2016-03-31,2016-03-31,2017-10-12,,https://patents.google.com/patent/KR20170112301A/en,https://patentimages.storage.googleapis.com/3f/73/1a/5e2cbf684d976f/pat00001.png
US-832819-A,Game apparatus. ,"Thomas D Singleton, William Gleason","Thomas D Singleton, William Gleason",1905-11-14,1905-11-14,1906-10-09,1906-10-09,https://patents.google.com/patent/US832819A/en,https://patentimages.storage.googleapis.com/6d/c0/e6/e8c9b09289fb99/US832819-drawings-page-1.png
US-1184863-A,Bat. ,William A Miller,William A Miller,1914-11-11,1914-11-11,1916-05-30,1916-05-30,https://patents.google.com/patent/US1184863A/en,https://patentimages.storage.googleapis.com/c4/ef/61/36c9892b03055f/US1184863-drawings-page-1.png
CN-107715434-A,A kind of table tennis system based on signal intensity positioning ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-02-23,,https://patents.google.com/patent/CN107715434A/en,
CN-107715433-A,A kind of table tennis system that positioning is read based on active radio frequency label ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-02-23,,https://patents.google.com/patent/CN107715433A/en,
CN-107899226-A,A kind of table tennis ball positioning method and system based on Mapping Resolution pretreatment ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-04-13,,https://patents.google.com/patent/CN107899226A/en,
CN-107670250-A,Table tennis judges whether that effectively service and ball move towards system and method after hitting table ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-02-09,,https://patents.google.com/patent/CN107670250A/en,
AU-594980-B2,Ball game ,Pro Sports Plaza International Limited,Gary Robert Harley,1985-11-11,1986-10-16,1990-03-22,1990-03-22,https://patents.google.com/patent/AU594980B2/en,
CN-107875601-A,Table tennis judges whether that hitting net and ball first moves towards system and method after hitting net ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-04-06,,https://patents.google.com/patent/CN107875601A/en,
GB-2568739-A,A table tennis device ,Gardner Alfred,Gardner Alfred,2017-11-25,2017-11-25,2019-05-29,,https://patents.google.com/patent/GB2568739A/en,
KR-20010008898-A,Nucleotide monomer containing six-membered azasugar and antisense oligomers thereof ,"우종일, 동부한농화학 주식회사","정경은, 양미림, 이광준, 김기철, 임홍",1999-07-05,1999-07-05,2001-02-05,,https://patents.google.com/patent/KR20010008898A/en,
DE-29917515-U1,table tennis racket ,"Rendler Achim, Bock Doris",,1999-09-22,1999-10-05,2000-05-04,,https://patents.google.com/patent/DE29917515U1/en,
KR-20170004787-A,Racket ,류종렬,류종렬,2015-07-02,2015-07-08,2017-01-11,,https://patents.google.com/patent/KR20170004787A/en,https://patentimages.storage.googleapis.com/9a/05/e5/3269043d3106a9/pat00001.png
KR-20170004283-A,Shakehand type pingpong racket ,류종렬,류종렬,2015-07-02,2015-07-02,2017-01-11,,https://patents.google.com/patent/KR20170004283A/en,https://patentimages.storage.googleapis.com/aa/ff/96/a77d740a9d28e6/pat00001.png
KR-20170004282-A,Shakehand type pingpong racket with supporting hand ,류종렬,류종렬,2015-07-02,2015-07-02,2017-01-11,,https://patents.google.com/patent/KR20170004282A/en,https://patentimages.storage.googleapis.com/f4/d7/88/a0ea979d39f9fb/pat00001.png
CN-108837443-A,A kind of open air table tennis bat ,池州市浮子信息技术服务有限公司,"王云霞, 朱英才, 刘红, 范驿",2018-06-29,2018-06-29,2018-11-20,,https://patents.google.com/patent/CN108837443A/en,
CN-108744444-A,A kind of novel and multifunctional table tennis bat ,盐城市艾斯特体育器材有限公司,"王旭升, 汤小庆, 刘宗英, 许鸿祥, 王文嫔",2018-08-10,2018-08-10,2018-11-06,,https://patents.google.com/patent/CN108744444A/en,
FR-998816-A,Ping pong paddle ,Simac,,1949-10-14,1949-10-14,1952-01-23,1952-01-23,https://patents.google.com/patent/FR998816A/en,
CN-110639873-A,Table tennis bat maintenance device ,徐州工程学院,"刘丽丽, 经伟, 张也, 杨丽娟",2019-08-30,2019-08-30,2020-01-03,,https://patents.google.com/patent/CN110639873A/en,
CN-110841257-A,Table tennis training bat and table tennis rapid training device ,卫志伟,"卫志伟, 卫天",2019-12-17,2019-12-17,2020-02-28,,https://patents.google.com/patent/CN110841257A/en,
FR-1087402-A,Sleeveless ping pong racket ,,Guillaume Petit,1953-07-28,1953-07-28,1955-02-23,1955-02-23,https://patents.google.com/patent/FR1087402A/en,
DE-3125100-A1,Table-tennis bat with second impact surface ,Wilhelm Heinz Borbein,Wilhelm Heinz Borbein,1981-06-26,1981-06-26,1983-01-13,,https://patents.google.com/patent/DE3125100A1/en,
CN-111589077-A,Table tennis bat protective edge and table tennis bat ,武汉理工大学,"徐子扬, 华剑",2020-05-07,2020-05-07,2020-08-28,,https://patents.google.com/patent/CN111589077A/en,
CN-111870911-A,Outdoor ball and racket ,安徽三才体育用品有限公司,"戴见霖, 黄瑞华",2020-08-04,2020-08-04,2020-11-03,,https://patents.google.com/patent/CN111870911A/en,
CN-112717351-A,Table tennis bat with right-angle handle ,湖南省嘉联文化传媒有限公司,张贻祥,2020-12-07,2020-12-07,2021-04-30,,https://patents.google.com/patent/CN112717351A/en,
CN-111870912-A,Butt-joint three-section outdoor ball ,安徽三才体育用品有限公司,"戴见霖, 黄瑞华",2020-08-04,2020-08-04,2020-11-03,,https://patents.google.com/patent/CN111870912A/en,
CN-112569551-A,Table tennis bat handle ,盐城市艾斯特体育器材有限公司,"王旭升, 汤小庆, 许鸿祥, 刘宗英, 陈亮",2020-11-30,2020-11-30,2021-03-30,,https://patents.google.com/patent/CN112569551A/en,
CN-112138350-A,Anti-extrusion light table tennis bat sleeve ,盐城锐特健康发展有限公司,"王旭升, 王春燕, 陈亮",2020-08-24,2020-08-24,2020-12-29,,https://patents.google.com/patent/CN112138350A/en,
KR-20180051959-A,The assistant for grip ,류종렬,류종렬,2016-11-09,2016-11-09,2018-05-17,,https://patents.google.com/patent/KR20180051959A/en,https://patentimages.storage.googleapis.com/f9/b7/5c/638152abd75fdb/pat00001.png
EP-1388989-B1,Vorrichtung und Verfahren zur Ausgabe von digitalen Inhalten ,"Ken Sakamura, Noboru Koshizuka, NTT DoCoMo, Inc.","Ken Sakamura, Noboru Koshizuka, Kensaku Int. Prop. Dept. NTT DoCoMo Inc Mori, Kazuhiko Int. Prop. Dept. NTT DoCoMo Inc Ishii, Hiroshi Int. Prop. Dept. NTT DoCoMo Inc Aono, Sadayuki Int. Prop. Dept. NTT DoCoMo Inc Hongo",2002-06-10,2003-06-10,2006-08-16,2006-08-16,https://patents.google.com/patent/EP1388989B1/de,https://patentimages.storage.googleapis.com/cc/6a/b1/f284ba6f9e84df/imgf0001.png
KR-101088493-B1,"탁구용 라켓, 라켓 본체 및 러버 ","애드코 고키 가부시키가이샤, 키요타카 요시하라","나오코 오카다, 키요타카 요시하라",2005-09-22,2006-05-08,2011-11-30,2011-11-30,https://patents.google.com/patent/KR101088493B1/ko,https://patentimages.storage.googleapis.com/4d/a4/81/a034ee9c00cae8/112006032164714-pat00001.png
CN-101279458-A,一种无机复合板材及其制备方法和应用 ,华南理工大学,"卢原秋, 谢平波, 宗伟, 马德煊, 李竟先",2008-05-15,2008-05-15,2008-10-08,,https://patents.google.com/patent/CN101279458A/zh,
CN-103223227-B,乒乓球拍 ,思达有限责任公司,莉迪亚·米哈伊尔洛夫娜·扎斯特洛娃,2012-01-27,2012-09-10,2015-08-05,2015-08-05,https://patents.google.com/patent/CN103223227B/zh,
CA-2763763-C,Produit d'enregistrement de transactions avec raquette ,"Target Brands, Inc., Chad Albers, Robert Jerome Weaver, Melissa M. Andrykowski, Marta Harding, Jessica D. Albrecht, Timothy P. Clegg, Primoz Samardzija","Chad Albers, Robert Jerome Weaver, Melissa M. Andrykowski, Marta Harding, Jessica D. Albrecht, Timothy P. Clegg, Primoz Samardzija",2011-06-17,2012-01-13,2013-07-09,2013-07-09,https://patents.google.com/patent/CA2763763C/fr,
CN-107283954-A,一种新型乒乓球拍底板及其制备方法 ,合肥博创机械制造有限公司,何飞,2017-06-21,2017-06-21,2017-10-24,,https://patents.google.com/patent/CN107283954A/zh,
CN-1869116-B,含微粒凝胶的可硫化的组合物 ,"莱茵化学莱茵瑙有限公司, 兰爱克谢斯德国有限责任公司, 兰塞克斯公司","T·弗吕, W·奥布雷希特, J·汉奈",2005-05-16,2006-05-16,2013-09-04,2013-09-04,https://patents.google.com/patent/CN1869116B/zh,
WO-2015119748-A1,Raquette de tennis de table ,Coconut Llc,"Thomas F. KOWALKE, Alexander J. EVANS",2014-02-10,2015-01-13,2015-08-13,,https://patents.google.com/patent/WO2015119748A1/fr,
CN-109276864-B,一种乒乓球拍底板 ,金华芃泓商贸有限公司,"张德凤, 马俊峰",2018-12-02,2018-12-02,2020-07-28,2020-07-28,https://patents.google.com/patent/CN109276864B/zh,
KR-101179817-B1,"탈,부착 교환 사용기능을 갖는 다기능 핸드 라켓 ","정강숙, 이윤호","이윤호, 정강숙",2010-06-18,2010-06-18,2012-09-04,2012-09-04,https://patents.google.com/patent/KR101179817B1/ko,https://patentimages.storage.googleapis.com/88/63/5b/4a762b3d3bb2fa/112012034384751-pat00013.png
JP-3103099-U,卓球用ラケット ,シン  ウー  スポーツ  リミテッド,シュナイダー ミヒャエル,2003-02-01,2004-01-30,2004-07-22,2004-07-22,https://patents.google.com/patent/JP3103099U/ja,https://patentimages.storage.googleapis.com/97/c5/42/7743b0e3a6dd0b/0003103099-3.png
DE-202013001474-U1,"Trainingshilfsmittel für das Erlernen von Spin bei Tischtennis-Schlagtechniken, mit Schutz gegen Beschädigung des Balles und Schlägers ",Csaba Nagy,,2013-02-15,2013-02-15,2013-03-05,,https://patents.google.com/patent/DE202013001474U1/de,https://patentimages.storage.googleapis.com/62/1c/5f/e5a3a6726c9455/00060001.png
KR-101903426-B1,카본블랙을 포함하는 탁구라켓용 러버조성물 및 이의 제조방법 ,인하대학교 산학협력단,"박수진, 신기주",2016-10-25,2016-10-25,2018-10-04,2018-10-04,https://patents.google.com/patent/KR101903426B1/ko,https://patentimages.storage.googleapis.com/a9/dc/99/b0ae286f15b5e8/112016103703331-pat00001.png
FR-2883483-A1,"Plaques pour raquettes de tennis de table a base d'armature en renfort fibreux carbonne, aramide, verre ","Virginie Gamboa, Charles Gamboa, Vincent Gamboa","Virginie Gamboa, Charles Gamboa, Vincent Gamboa",2005-03-22,2005-03-22,2006-09-29,,https://patents.google.com/patent/FR2883483A1/fr,
WO-2004112919-A1,Ensemble circuit electronique et accessoire de jeu ,Julian Renton,Julian Renton,2003-06-20,2004-06-16,2004-12-29,,https://patents.google.com/patent/WO2004112919A1/fr,
WO-2004067111-A2,"Raquette de tennis de table comprenant une plaque de frappe qui presente un corps de base multicouche dote d'une couche intermediaire, et procede de realisation de la couche intermediaire ",Sing Wo Sports Ltd.,Michael Schneider,2003-02-01,2004-01-30,2004-08-12,,https://patents.google.com/patent/WO2004067111A2/fr,
CN-111282231-B,一种乒乓球拍及乒乓球拍的制作方法 ,江苏金成源实业投资有限公司,陆望思,2020-03-18,2020-03-18,2021-04-20,2021-04-20,https://patents.google.com/patent/CN111282231B/zh,
CN-107866058-A,一种基于多层映射解析定位的乒乓球运动系统 ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-04-03,,https://patents.google.com/patent/CN107866058A/zh,
CN-105833492-B,匹克球拍及其制作方法 ,桐乡波力科技复材用品有限公司,洪硕宏,2016-05-23,2016-05-23,2018-10-26,2018-10-26,https://patents.google.com/patent/CN105833492B/zh,
KR-200483855-Y1,탁구 라켓 ,유은호,유은호,2015-10-14,2015-10-14,2017-07-03,2017-07-03,https://patents.google.com/patent/KR200483855Y1/ko,https://patentimages.storage.googleapis.com/f7/81/cd/0be52600db771d/112015099320069-utm00001.png
FR-2983081-B1,Raquette comprenant deux coques destinee a la pratique d’un sport tel que le tennis de table ,Decathlon Sa,"Aurelien Fael, Antoine Giboire, Johann Guerizec, Guillaume Brosse",2011-11-24,2011-11-24,2014-09-12,2014-09-12,https://patents.google.com/patent/FR2983081B1/fr,
CN-104906772-B,一种带有拉绳双板的体育器械 ,重庆盛瓒科技有限公司,不公告发明人,2015-07-15,2015-07-15,2017-10-31,2017-10-31,https://patents.google.com/patent/CN104906772B/zh,
WO-2019210809-A1,Raquette de ping-pong novatrice ,Zhao Bin,赵斌,2018-05-03,2019-04-25,2019-11-07,,https://patents.google.com/patent/WO2019210809A1/fr,https://patentimages.storage.googleapis.com/7a/a0/80/5182c4bf0c35ea/PCTCN2019084365-appb-300001.png
FR-3055217-A1,Raquette de ping-pong electronique ,Jean Pierre Nikolovski,Jean-Pierre Nikolovski,2016-08-25,2016-08-25,2018-03-02,,https://patents.google.com/patent/FR3055217A1/fr,
FR-2932392-B1,Raquette de tennis de table ,Jean Remy Bouvier,Jean Remy Bouvier,2008-06-13,2008-06-13,2010-09-17,2010-09-17,https://patents.google.com/patent/FR2932392B1/fr,
FR-3042124-B1,"RACKET, ESPECIALLY PADEL RACKET STRUCTURE ",Skis Rossignol,"Jordi Llado Abella, Juan Garcia Bano, Jacky Christoud",2015-10-07,2015-10-07,2018-04-06,2018-04-06,https://patents.google.com/patent/FR3042124B1/fr,
WO-2014192516-A1,Élastomère poreux et son procédé de production ,株式会社ポリテック・デザイン,倉持　浩,2013-05-31,2014-05-09,2014-12-04,,https://patents.google.com/patent/WO2014192516A1/fr,https://patentimages.storage.googleapis.com/c0/36/ac/f8349cf3b47d08/JPOXMLDOC01-appb-D000001.png
KR-101924419-B1,스윙 연습용 탁구 라켓 장치 ,김상경,김상경,2017-08-02,2017-08-02,2018-12-03,2018-12-03,https://patents.google.com/patent/KR101924419B1/ko,https://patentimages.storage.googleapis.com/86/c4/32/842d95bb5b5d72/112017074736458-pat00001.png
KR-101831825-B1,탁구 스윙 임팩트 판별장치 ,김상경,김상경,2016-11-02,2016-11-02,2018-04-04,2018-04-04,https://patents.google.com/patent/KR101831825B1/ko,https://patentimages.storage.googleapis.com/60/f7/a9/50f6da4d791d4d/112016107311510-pat00001.png
EP-1473064-A1,Holz von Tischtennisschläger und Tischtennisschläger ,"Tamasu Co., Ltd",Kimihiko Tamasu,2003-04-30,2003-10-21,2004-11-03,,https://patents.google.com/patent/EP1473064A1/de,https://patentimages.storage.googleapis.com/7d/ac/aa/a2a3dd443a49c0/00160001.png
KR-101449448-B1,이중 완충 탁구 라켓 ,장선,장선,2012-01-30,2012-01-30,2014-10-13,2014-10-13,https://patents.google.com/patent/KR101449448B1/ko,https://patentimages.storage.googleapis.com/51/82/b5/614d539fca429b/112012007193715-pat00001.png
KR-200469533-Y1,연습용 탁구라켓 ,강택기,강택기,2011-10-18,2011-10-18,2013-10-28,2013-10-28,https://patents.google.com/patent/KR200469533Y1/ko,https://patentimages.storage.googleapis.com/e0/74/67/1fbb6b56b96abe/112011081398746-utm00001.png
CN-108579034-A,一种可以更换把手的乒乓球拍 ,芜湖臻勋商贸有限公司,何俊,2018-07-12,2018-07-12,2018-09-28,,https://patents.google.com/patent/CN108579034A/zh,
CN-101274135-A,乒乓球底板 ,"卢卿其, 陈国明","卢卿其, 陈国明",2008-05-20,2008-05-20,2008-10-01,,https://patents.google.com/patent/CN101274135A/zh,
CN-107694072-A,一种基于绝对距离的乒乓球定位方法及系统 ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2018-02-16,,https://patents.google.com/patent/CN107694072A/zh,
CN-106730701-A,一种发光发声的匹克球拍及其系统 ,深圳市安信检测有限公司,曾国际,2017-03-10,2017-03-10,2017-05-31,,https://patents.google.com/patent/CN106730701A/zh,
DE-102010041668-A1,Tischtennisschlägerblatt sowie dessen Herstellung ,Michael Schneider,Anmelder Gleich,2010-09-29,2010-09-29,2012-03-29,,https://patents.google.com/patent/DE102010041668A1/de,https://patentimages.storage.googleapis.com/45/fa/e2/81735068906b77/00120000.png
DE-102004026674-B3,Verfahren und Vorrichtung zum Entfernen von Kleberrückständen ,Andreas Wendlandt,Andreas Wendlandt,2004-05-28,2004-05-28,2005-02-10,2005-02-10,https://patents.google.com/patent/DE102004026674B3/de,
KR-200346018-Y1,다용도 라켓 ,하웅수,하웅수,2003-11-27,2003-11-27,2004-03-26,2004-03-26,https://patents.google.com/patent/KR200346018Y1/ko,
KR-20110048987-A,펜 홀더 핸드·쉐이크 핸드·이면타법 및 시간차 공격이 가능한 탁구라켓 ,심화보,심화보,2009-11-04,2009-11-04,2011-05-12,,https://patents.google.com/patent/KR20110048987A/ko,https://patentimages.storage.googleapis.com/a9/64/84/1ecae72cdbdbf4/112009504206774-PAT00001.png
DE-10355840-A1,Schwingungsabsorbierender Tischtennisschläger ,Boris Misakov,Boris Misakov,2003-11-26,2003-11-26,2005-06-23,,https://patents.google.com/patent/DE10355840A1/de,
DE-202014104453-U1,Ballschläger mit Wurfscheibe ,Klaus Kühl,,2014-09-18,2014-09-18,2014-10-27,,https://patents.google.com/patent/DE202014104453U1/de,https://patentimages.storage.googleapis.com/82/21/f0/0393b076cbadb3/DE202014104453U1_0002.png
FR-2880813-B1,Raquette de tennis de table ,Cornilleau Sa Ets,Stephane Mithieux,2005-12-21,2005-12-21,2009-03-27,2009-03-27,https://patents.google.com/patent/FR2880813B1/fr,
WO-2011032459-A1,柄部改进的乒乓球拍底板 ,Liu Yong,刘勇,2009-09-15,2010-08-29,2011-03-24,,https://patents.google.com/patent/WO2011032459A1/zh,
ES-1069271-Y,Pala de tenis de mesa ,Alonso Noel Rodo,Alonso Noel Rodo,2008-11-25,2008-11-25,2009-06-04,2009-06-04,https://patents.google.com/patent/ES1069271Y/es,
KR-20140006142-U,구기운동용 라켓 ,"정창수, 장명숙","정창수, 장명숙",2013-05-29,2013-05-29,2014-12-09,,https://patents.google.com/patent/KR20140006142U/ko,https://patentimages.storage.googleapis.com/2b/01/71/5e071015fb6ef7/utm00001.png
CN-201701707-U,桌球拍 ,陈许铭,陈许铭,2010-04-16,2010-04-16,2011-01-12,2011-01-12,https://patents.google.com/patent/CN201701707U/zh,
DE-202007012758-U1,Schläger für ein Ballspiel ,"Jockers, Wilhelm, Schlieter, Jürgen",,2007-09-12,2007-09-12,2007-11-15,,https://patents.google.com/patent/DE202007012758U1/de,
KR-20120078772-A,탁구 라켓용 러버 및 탁구 라켓 ,김재규,김재규,2011-01-02,2011-01-02,2012-07-11,,https://patents.google.com/patent/KR20120078772A/ko,https://patentimages.storage.googleapis.com/5f/a2/f5/94520885f328ae/pat00001.png
